iter	Logloss
0	0.6880588937
1	0.6811500378
2	0.6742048735
3	0.6677561496
4	0.6614842247
5	0.6548897673
6	0.6487946882
7	0.64297624
8	0.6372035404
9	0.6329591742
10	0.6283435008
11	0.6233043274
12	0.6178609498
13	0.6131190091
14	0.6084175077
15	0.6045203639
16	0.6000361176
17	0.5954353607
18	0.590826276
19	0.5861750812
20	0.5816804114
21	0.5781713217
22	0.5740536943
23	0.5700409341
24	0.5656424762
25	0.5618925239
26	0.5576782302
27	0.5537176492
28	0.5494981579
29	0.5461819994
30	0.5444401008
31	0.5406850497
32	0.5374471074
33	0.535804285
34	0.5326331642
35	0.5292089743
36	0.5274074983
37	0.5245289361
38	0.5214128929
39	0.5188691731
40	0.5161615686
41	0.5128457647
42	0.5104466246
43	0.5083186989
44	0.505831205
45	0.5037395603
46	0.5012166316
47	0.4985591797
48	0.4964943226
49	0.4939030211
50	0.4916307112
51	0.489645834
52	0.4874695595
53	0.4856613147
54	0.4836571617
55	0.4815211891
56	0.4796517511
57	0.4778378175
58	0.475748314
59	0.4743233208
60	0.472763352
61	0.471167876
62	0.4695759562
63	0.4678620918
64	0.4665907497
65	0.4649693492
66	0.4632786729
67	0.4612733844
68	0.4597192446
69	0.4590425758
70	0.4574112359
71	0.455888456
72	0.4544235933
73	0.4528353399
74	0.4517008362
75	0.4501034412
76	0.4488861216
77	0.4477117803
78	0.4464360901
79	0.4450622949
80	0.4438732041
81	0.4426916334
82	0.441299086
83	0.4400990769
84	0.4388351149
85	0.4379495472
86	0.4366280331
87	0.4355880409
88	0.4343952345
89	0.4338383572
90	0.4325465772
91	0.4319120217
92	0.4311246737
93	0.4300645257
94	0.4288858763
95	0.4282255829
96	0.4270422585
97	0.4261495789
98	0.4249915531
99	0.4242217331
100	0.423159871
101	0.4220605234
102	0.4213482081
103	0.4206120991
104	0.4198720513
105	0.4188639644
106	0.4178655829
107	0.4171166468
108	0.4162537092
109	0.4153532526
110	0.414745475
111	0.4140625568
112	0.4135233477
113	0.4129957185
114	0.4124681785
115	0.4119476188
116	0.4115753283
117	0.4107869516
118	0.4101173924
119	0.4093948497
120	0.4087814298
121	0.4080603134
122	0.407450751
123	0.4068065798
124	0.406495206
125	0.4056750011
126	0.4049918737
127	0.404444842
128	0.4038416597
129	0.4034314539
130	0.4029973078
131	0.4024699135
132	0.4017205043
133	0.4011824142
134	0.4007039897
135	0.4001460909
136	0.3997907057
137	0.3992583131
138	0.3986706205
139	0.3980685108
140	0.3973149768
141	0.3968187218
142	0.3965729118
143	0.3958940362
144	0.3953917977
145	0.3948272164
146	0.394414283
147	0.3940144932
148	0.3934401921
149	0.3930306944
150	0.3926706975
151	0.3925602138
152	0.3921511812
153	0.3916051329
154	0.3911504563
155	0.3907470003
156	0.3904740552
157	0.3901037164
158	0.3898182314
159	0.3892956211
160	0.3886371601
161	0.3882610424
162	0.3878216162
163	0.3874400257
164	0.3869901289
165	0.3866553439
166	0.3862894249
167	0.3860004532
168	0.3855673337
169	0.3853129475
170	0.3852327407
171	0.3849590732
