iter	Passed	Remaining
436	1382	1781
437	1385	1777
438	1387	1773
439	1389	1768
440	1391	1764
441	1395	1762
442	1399	1759
443	1401	1755
444	1404	1751
445	1406	1747
446	1410	1744
447	1414	1742
448	1417	1739
449	1420	1736
450	1426	1736
451	1429	1733
452	1431	1728
453	1434	1724
454	1436	1721
455	1440	1718
456	1443	1715
457	1446	1711
458	1448	1707
459	1451	1703
460	1453	1699
461	1456	1696
462	1460	1693
463	1463	1690
464	1468	1689
465	1470	1685
466	1473	1681
467	1474	1676
468	1477	1672
469	1480	1669
470	1486	1669
471	1489	1666
472	1492	1662
473	1496	1661
474	1499	1657
475	1502	1653
476	1504	1649
477	1507	1646
478	1520	1653
479	1522	1649
480	1536	1657
481	1538	1653
482	1542	1651
483	1545	1647
484	1548	1644
485	1550	1640
486	1552	1635
487	1556	1632
488	1558	1629
489	1561	1625
490	1563	1621
491	1566	1616
492	1568	1612
493	1571	1609
494	1574	1606
495	1576	1602
496	1578	1597
497	1580	1593
498	1582	1588
499	1584	1584
500	1587	1581
501	1590	1577
502	1592	1573
503	1594	1569
504	1596	1564
505	1598	1561
506	1600	1556
507	1602	1551
508	1604	1547
509	1606	1543
510	1608	1539
511	1611	1535
512	1614	1532
513	1618	1530
514	1636	1540
515	1638	1536
516	1640	1532
517	1642	1528
518	1645	1524
519	1649	1522
520	1652	1519
521	1654	1515
522	1656	1510
523	1659	1507
524	1663	1505
525	1680	1514
526	1682	1510
527	1685	1506
528	1686	1501
529	1689	1497
530	1692	1494
531	1693	1489
532	1696	1486
533	1698	1482
534	1700	1478
535	1702	1474
536	1706	1471
537	1708	1467
538	1710	1463
539	1713	1459
540	1715	1455
541	1718	1452
542	1722	1449
543	1725	1446
544	1727	1442
545	1729	1438
546	1731	1434
547	1735	1431
548	1737	1427
549	1739	1423
550	1741	1419
551	1743	1415
552	1745	1411
553	1749	1408
554	1750	1403
555	1752	1399
556	1754	1395
557	1756	1391
558	1758	1387
559	1760	1383
560	1761	1378
561	1764	1375
562	1767	1371
563	1769	1368
564	1771	1364
565	1773	1360
566	1775	1356
567	1779	1353
568	1781	1349
569	1784	1346
570	1786	1342
571	1788	1338
572	1791	1334
573	1795	1332
574	1797	1328
575	1799	1324
576	1801	1320
577	1804	1317
578	1806	1313
579	1808	1309
580	1811	1306
581	1814	1302
582	1816	1299
583	1818	1295
584	1821	1291
585	1823	1288
586	1825	1284
587	1828	1280
588	1830	1277
589	1832	1273
590	1835	1270
591	1838	1267
592	1840	1263
593	1842	1259
594	1844	1255
595	1846	1251
596	1849	1248
597	1853	1246
598	1856	1242
599	1859	1239
600	1861	1235
601	1864	1232
602	1868	1230
603	1871	1226
604	1873	1223
605	1874	1218
606	1877	1215
607	1882	1213
608	1886	1210
609	1889	1207
610	1892	1204
611	1912	1212
612	1915	1209
613	1927	1212
614	1931	1209
615	1934	1206
616	1937	1202
617	1941	1200
618	1945	1197
619	1948	1194
620	1950	1190
621	1954	1187
622	1956	1184
623	1958	1180
624	1959	1175
625	1962	1172
626	1964	1168
627	1967	1165
628	1970	1162
629	1973	1158
630	1975	1155
631	1978	1152
632	1979	1147
633	1983	1144
634	1985	1141
635	1987	1137
636	1990	1134
637	1992	1130
638	1995	1127
639	1998	1124
640	2001	1120
641	2003	1117
642	2005	1113
643	2007	1109
644	2010	1106
645	2014	1103
646	2017	1100
647	2019	1097
648	2021	1093
649	2023	1089
650	2026	1086
651	2029	1082
652	2031	1079
653	2035	1076
654	2038	1073
655	2042	1070
656	2045	1067
657	2047	1064
658	2049	1060
659	2052	1057
660	2055	1054
661	2060	1051
662	2062	1048
663	2065	1045
664	2067	1041
665	2071	1038
666	2075	1036
667	2094	1041
668	2096	1037
669	2099	1034
670	2103	1031
671	2106	1028
672	2108	1024
673	2111	1021
674	2113	1017
675	2116	1014
676	2120	1011
677	2123	1008
678	2125	1004
679	2127	1001
680	2131	998
681	2133	994
682	2136	991
683	2138	988
684	2140	984
685	2142	980
686	2146	978
687	2150	975
688	2153	971
689	2155	968
690	2157	964
691	2161	961
692	2164	958
693	2166	955
694	2168	951
695	2170	947
696	2172	944
697	2175	941
698	2178	938
699	2181	934
700	2183	931
701	2185	927
702	2187	924
703	2191	921
704	2194	918
705	2197	915
706	2199	911
707	2201	908
708	2205	905
709	2208	902
710	2211	898
711	2213	895
712	2215	891
713	2217	888
714	2219	884
715	2222	881
716	2225	878
717	2227	874
718	2230	871
719	2234	868
720	2238	866
721	2241	863
722	2244	859
723	2246	856
724	2250	853
725	2253	850
726	2255	847
727	2258	843
728	2260	840
729	2265	838
730	2269	835
731	2272	831
732	2274	828
733	2278	825
734	2281	822
735	2283	819
736	2285	815
737	2287	812
738	2290	808
739	2293	805
740	2297	802
741	2299	799
742	2301	796
743	2304	792
744	2307	789
745	2319	789
746	2324	787
747	2329	784
748	2332	781
749	2335	778
750	2342	776
751	2346	773
752	2350	770
753	2354	768
754	2359	765
755	2362	762
756	2364	759
757	2368	756
758	2372	753
759	2375	750
760	2378	746
761	2380	743
762	2384	740
763	2387	737
764	2390	734
765	2391	730
766	2393	727
767	2397	724
768	2400	721
769	2402	717
770	2405	714
771	2407	711
772	2410	707
773	2415	705
774	2418	702
775	2421	698
776	2424	695
777	2428	693
778	2431	689
779	2434	686
780	2437	683
781	2440	680
782	2445	677
783	2448	674
784	2451	671
785	2453	667
786	2458	665
787	2461	662
788	2463	658
789	2465	655
790	2468	652
791	2472	649
792	2491	650
793	2494	647
794	2496	643
795	2498	640
796	2503	637
797	2506	634
798	2509	631
799	2511	627
800	2514	624
801	2518	621
802	2522	618
803	2524	615
804	2527	612
805	2530	608
806	2533	606
807	2536	602
808	2538	599
809	2541	596
810	2545	593
811	2548	590
812	2551	586
813	2554	583
814	2555	580
815	2559	577
816	2562	574
817	2565	570
818	2567	567
819	2570	564
820	2574	561
821	2577	558
822	2579	554
823	2582	551
824	2584	548
825	2587	545
826	2591	542
827	2594	538
828	2597	535
829	2599	532
830	2603	529
831	2607	526
832	2609	523
833	2612	519
834	2614	516
835	2617	513
836	2620	510
837	2623	507
838	2625	503
839	2627	500
840	2629	497
841	2633	494
842	2636	491
843	2639	487
844	2641	484
845	2643	481
846	2645	477
847	2648	474
848	2652	471
849	2655	468
850	2657	465
851	2661	462
852	2664	459
853	2667	456
854	2668	452
855	2671	449
856	2673	446
857	2677	443
858	2680	440
859	2683	436
860	2685	433
861	2688	430
862	2692	427
863	2695	424
864	2697	420
865	2699	417
866	2702	414
867	2704	411
868	2709	408
869	2712	405
870	2715	402
871	2717	398
872	2721	395
873	2724	392
874	2727	389
875	2729	386
876	2732	383
877	2735	380
878	2738	377
879	2753	375
880	2756	372
881	2758	369
882	2761	365
883	2763	362
884	2768	359
885	2773	356
886	2776	353
887	2778	350
888	2783	347
889	2786	344
890	2789	341
891	2791	337
892	2795	334
893	2799	331
894	2805	329
895	2808	325
896	2812	322
897	2820	320
898	2823	317
899	2835	315
900	2837	311
901	2840	308
902	2843	305
903	2845	302
904	2848	298
905	2850	295
906	2852	292
907	2854	289
908	2857	286
909	2861	283
910	2864	279
911	2866	276
912	2869	273
913	2872	270
914	2875	267
915	2878	263
916	2880	260
917	2883	257
918	2886	254
919	2890	251
920	2893	248
921	2895	244
922	2898	241
923	2901	238
924	2904	235
925	2906	232
926	2908	229
927	2911	225
928	2914	222
929	2917	219
930	2920	216
931	2923	213
932	2925	210
933	2929	207
934	2932	203
935	2935	200
936	2937	197
937	2939	194
938	2943	191
939	2946	188
940	2950	184
941	2953	181
942	2955	178
943	2959	175
944	2962	172
945	2964	169
946	2967	166
947	2969	162
948	2971	159
949	2974	156
950	2976	153
951	2978	150
952	2980	147
953	2982	143
954	2985	140
955	2988	137
956	2991	134
957	2993	131
958	2995	128
959	2997	124
960	2999	121
961	3001	118
962	3004	115
963	3007	112
964	3009	109
965	3011	106
966	3014	102
967	3017	99
968	3020	96
969	3023	93
970	3025	90
971	3027	87
972	3030	84
973	3032	80
974	3035	77
975	3038	74
976	3041	71
977	3043	68
978	3046	65
979	3049	62
980	3052	59
981	3054	55
982	3056	52
983	3059	49
984	3061	46
985	3063	43
986	3066	40
987	3068	37
988	3070	34
989	3073	31
990	3076	27
991	3079	24
992	3082	21
993	3084	18
994	3087	15
995	3090	12
996	3093	9
997	3096	6
998	3098	3
999	3100	0
